DISAPPROVALS_BL,DISAPPROVALS_EN,DISAPPROVALS_FM,DISAPPROVALS_OM,NOTE_BL,NOTE_EN,NOTE_FM,NOTE_OM,ENGLISH,H_CLASS_PRES,ONLINE_TASKS,ABSENCES,NOTE_BL_CAT,NOTE_EN_CAT,NOTE_FM_CAT,NOTE_OM_CAT
0.0,0.0,0.0,0.0,5.8,4.4,4.9,5.4,1.0,4.0,2.0,6.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,5.6,5.7,4.7,5.1,1.0,1.0,2.0,6.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
1.0,1.0,0.0,0.0,0.0,0.0,5.6,4.8,1.0,2.0,6.0,6.0,"(-1, 2]","(-1, 2]","(4, 6]","(4, 6]"
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,"(-1, 2]","(-1, 2]","(-1, 2]","(-1, 2]"
0.0,0.0,0.0,0.0,7.1,7.2,6.3,7.0,0.0,3.0,6.0,3.0,"(6, 8]","(6, 8]","(6, 8]","(6, 8]"
0.0,0.0,0.0,0.0,6.2,5.1,4.9,6.0,1.0,1.0,2.0,3.0,"(6, 8]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,7.0,7.5,7.0,5.9,0.0,10.0,4.0,2.0,"(6, 8]","(6, 8]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,5.5,5.8,6.1,4.6,1.0,2.0,5.0,4.0,"(4, 6]","(4, 6]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,6.8,6.3,4.9,4.7,1.0,4.0,5.0,1.0,"(6, 8]","(6, 8]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,7.1,8.1,8.0,6.7,0.0,3.0,5.0,3.0,"(6, 8]","(8, 10]","(6, 8]","(6, 8]"
0.0,0.0,0.0,0.0,6.6,6.9,5.0,5.8,1.0,0.0,3.0,3.0,"(6, 8]","(6, 8]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,8.2,8.1,9.3,7.9,0.0,25.0,7.0,2.0,"(8, 10]","(8, 10]","(8, 10]","(6, 8]"
0.0,0.0,0.0,0.0,6.7,7.0,6.0,5.4,1.0,2.0,2.0,4.0,"(6, 8]","(6, 8]","(4, 6]","(4, 6]"
1.0,1.0,3.0,3.0,0.0,0.0,0.0,5.4,1.0,4.0,3.0,3.0,"(-1, 2]","(-1, 2]","(-1, 2]","(4, 6]"
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,15.0,5.0,2.0,"(-1, 2]","(-1, 2]","(-1, 2]","(-1, 2]"
